"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HVO_RS00045",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.1",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.2",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.3",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.4",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.5",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.6",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.7",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.8",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.9",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.10",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.11",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.12",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.13",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.14",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.15",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.16",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.17",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.18",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.19",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.20",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.21",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.22",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.23",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.24",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.25",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.26",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.27",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.28",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.29",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.30",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00005",4152.66241816563,-0.000285878133010261,0.178131503418864,0,1,1
"HVO_RS00005.1",4152.66241816563,-0.000285878133010261,0.178131503418864,0,1,1
"HVO_RS00045.31",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.32",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.33",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.34",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.35",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.36",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.37",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.38",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.39",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.40",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.41",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.42",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.43",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.44",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.45",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.46",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.47",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.48",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.49",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.50",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.51",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.52",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.53",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.54",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.55",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.56",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.57",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.58",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.59",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.60",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.61",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.62",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.63",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.64",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.65",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.66",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.67",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.68",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.69",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.70",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.71",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.72",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.73",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.74",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.75",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.76",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.77",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.78",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.79",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.80",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.81",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.82",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.83",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.84",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.85",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.86",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.87",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.88",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.89",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.90",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.91",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.92",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.93",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.94",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.95",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.96",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.97",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.98",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.99",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.100",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.101",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.102",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.103",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.104",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.105",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.106",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.107",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.108",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.109",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.110",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.111",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.112",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.113",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00015",864.612476472881,-0.0451689110790345,0.146415659026594,0,1,1
"HVO_RS00040",101.663204781804,0.317283659094812,0.1511608343511,0,1,1
"HVO_RS00045.114",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00010",1506.86533849809,-0.0655777091692728,0.128838753041621,0,1,1
"HVO_RS00010.1",1506.86533849809,-0.0655777091692728,0.128838753041621,0,1,1
"HVO_RS00045.115",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.116",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.117",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.118",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.119",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.120",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.121",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.122",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.123",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.124",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.125",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.126",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.127",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.128",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.129",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.130",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.131",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.132",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.133",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.134",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.135",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.136",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.137",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.138",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.139",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.140",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.141",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.142",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.143",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.144",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.145",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.146",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.147",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.148",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.149",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.150",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.151",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.152",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.153",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.154",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.155",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.156",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.157",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.158",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.159",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.160",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.161",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.162",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.163",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00020",1088.98653058503,-0.0276478992498066,0.128548318878219,0,1,1
"HVO_RS00045.164",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.165",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00010.2",1506.86533849809,-0.0655777091692728,0.128838753041621,0,1,1
"HVO_RS00045.166",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.167",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.168",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.169",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.170",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.171",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.172",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.173",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.174",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.175",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.176",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.177",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.178",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.179",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.180",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.181",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.182",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.183",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.184",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.185",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.186",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.187",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.188",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.189",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.190",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.191",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.192",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00035",6361.06372150255,0.35225522169322,0.0980842758777793,0,1,1
"HVO_RS00045.193",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.194",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.195",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.196",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.197",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.198",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.199",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.200",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.201",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.202",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
