	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS00005	3549	3114	4677	3167	4929	3088	6137	4635	4794
HVO_RS00010	1246	1695	1380	1227	1596	1207	2659	1414	1476
HVO_RS00015	655	1016	785	725	938	664	1612	855	786
HVO_RS00020	901	1125	1040	974	1060	872	1833	1083	1094
HVO_RS00025	311	406	315	323	356	295	765	389	346
HVO_RS00030	908	1097	1098	961	1173	861	2105	1085	1056
HVO_RS00035	4386	6026	5187	6018	7993	5501	11494	6221	6111
HVO_RS00040	63	85	82	82	104	94	213	112	123
HVO_RS00045	3387	3749	4124	3343	4721	3026	8147	4286	4180
HVO_RS00050	1760	2288	2058	1887	2390	1780	4522	2516	2196
HVO_RS00055	1424	1656	1325	1104	1480	1093	3183	1598	1262
HVO_RS00060	276	362	356	311	325	282	592	380	297
HVO_RS00065	8374	10388	10119	4665	6604	4572	13910	8142	7616
HVO_RS00070	2194	2481	2392	1454	1822	1736	4533	2472	2059
HVO_RS00075	1419	2009	1928	1693	2501	1898	3719	2250	2049
HVO_RS00080	2577	2859	3185	2827	3968	3063	5716	3448	3078
HVO_RS00085	446	529	593	239	303	254	914	567	445
HVO_RS00090	6942	9445	8759	5900	7564	5646	12437	7029	7282
HVO_RS00095	1848	2553	2213	1746	2292	1698	4499	2394	2411
HVO_RS00100	286	316	282	267	318	260	544	278	352
HVO_RS00105	199	199	169	164	173	149	365	220	217
HVO_RS00110	890	1097	972	708	947	774	1571	972	1034
HVO_RS00115	328	573	537	268	320	297	1057	431	495
HVO_RS00120	1341	1964	1690	872	997	858	2760	1219	1209
HVO_RS00125	169	247	216	154	205	175	388	183	135
HVO_RS00130	94	113	127	100	108	118	217	114	99
HVO_RS00135	1760	2154	1880	1896	2276	1773	4617	2602	2420
HVO_RS00140	168	213	186	223	222	166	580	272	268
HVO_RS00145	339	516	416	565	598	493	1565	713	729
HVO_RS00150	139	247	231	109	151	120	387	167	177
HVO_RS00155	50	68	48	51	47	51	144	50	75
HVO_RS00170	11	25	32	27	27	26	100	22	35
HVO_RS00175	28	18	21	25	12	32	48	19	20
HVO_RS00180	228	304	375	174	211	167	534	244	235
HVO_RS00185	1024	1725	1272	878	1054	873	2642	1290	1072
HVO_RS00190	2034	2634	2471	1377	1753	1262	5838	3628	2863
HVO_RS00195	5645	5402	2805	3814	3859	3473	11920	5627	6394
HVO_RS00200	2910	2886	1600	1812	1826	1827	6559	3055	3437
HVO_RS00205	944	899	459	560	573	584	2154	1017	1019
HVO_RS00210	4723	4875	2489	2964	2880	2834	9985	4844	4964
HVO_RS00215	4354	4754	2196	3192	2861	3061	11163	4964	4809
