	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS00700	21289.009609341	17293.373154151	15002.4914350097	57379.4413601607	53232.3271871896	56115.7685719174	52609.6947029325	47978.9284807833	57069.8504685849
HVO_RS00720	76764.5272440022	76505.794192615	72020.1124160006	23652.9625742301	25986.2665175843	26974.6408176545	18904.7173662267	13241.1199295332	8156.54864761635
HVO_RS00725	1700.9056358262	1279.7594741659	972.3082084918	4174.19781106462	4346.14524212863	4021.15003089548	4306.43213378292	4427.37756350485	5162.27660690217
HVO_RS00910	1985.70843996454	2091.38182466506	2126.03241395586	3528.20573950348	2108.01056654143	1671.82662449252	9396.54987391937	5638.75447932148	8827.95865312911
HVO_RS00915	2312.32752883748	2265.89448023314	2661.10768592462	3908.12827967449	2510.9133634387	2095.10557511309	10126.493664012	6735.09560214148	10195.6858095204
HVO_RS01470	556.04356998438	592.78902050109	402.580442719351	132.415999342993	160.96834230106	139.005809227468	53.7418162608675	68.0211645545255	34.6534196393684
HVO_RS01735	146202.163300588	117536.58189356	126229.862207898	39836.1777462704	36856.9309754967	37653.0420364169	35676.2980254836	43630.5755055109	42188.3725722036
HVO_RS01840	31029.9436127869	33248.8159489466	27642.4981454031	4795.43922854296	4332.65089007944	4183.94962728801	8570.93383949418	7646.37914492343	6717.34881321883
HVO_RS02455	486090.576472687	426388.895048468	641203.630197532	20637.0953742406	19265.1153147982	20361.2202903549	43272.2017699592	51690.0831939787	39539.5518085194
HVO_RS02625	1590.1489897724	1709.11600770641	1821.29430668223	632.3792118156	577.365491247516	726.33666082821	193.116196893447	337.104889042281	139.696597921204
HVO_RS02630	7340.45322570843	8140.23053697447	9691.48716409698	3497.26742189997	3415.9988330237	3312.34563429416	2165.02745508066	2151.66948465859	1732.67098196842
HVO_RS02635	80309.8700875814	82884.2779209974	112338.288956595	27535.1026671176	25485.0477271858	27881.3093391022	8850.27317016879	18905.8825011843	8059.08590488062
HVO_RS02645	1847.82771732614	1866.08506297929	2528.61285667521	746.232220596491	707.489600293283	662.469126858833	391.547518472035	377.117338780237	301.051583117013
HVO_RS02655	448.677433503656	376.725732654898	501.441969159293	214.09315781624	195.668104713265	205.377952372114	67.3249126784494	137.0426403525	70.3897586424672
HVO_RS02660	889.44367800347	888.260183367677	1049.76672405299	363.834615017195	363.383623038921	339.374543249043	95.0816749230733	234.072830967044	85.5506297346908
HVO_RS03100	2808.4720963642	3075.67013596438	2533.70881164635	249.981606236304	264.103747248446	273.002400104396	1092.55340750115	881.274205478485	962.715314356205
HVO_RS03120	6844.30865818172	7619.46261242211	7413.59529200142	1289.509077714	1187.50298032878	1263.57532892356	2841.81999832192	2664.82915254788	2635.82573131946
HVO_RS03255	4250.56883477897	3938.99993996519	4482.40199260685	957.850313004452	824.11935728986	782.690367271778	897.665502379325	990.308131014416	915.066862352073
HVO_RS03260	2183.48816506061	1701.72922863475	2019.01735956211	451.699437011143	385.552915691162	412.008209331864	475.998944024826	580.180521200365	507.889181589494
HVO_RS03265	1429.66486998016	1144.95075610802	1441.13606583585	339.083960934392	298.803509660651	425.783559795847	372.649297369312	483.150330585821	358.446309394717
HVO_RS03480	34557.2037386431	35463.0029756781	39971.6516025575	1436.77546950668	1359.07402781135	1428.87953449136	5040.5099097418	4486.39592686834	3216.27051027888
HVO_RS04285	2905.66670412569	2749.72850942717	2535.7471936348	1013.53928469076	867.494060305115	897.902389334183	801.993258046792	947.294747546113	763.458151429836
HVO_RS04295	569536.667915363	666243.151589723	633490.392753229	210090.977051051	185540.593500347	189113.020387913	187134.319345026	255994.651867227	178673.031660584
HVO_RS04520	32175.9358484864	30776.0916547069	43737.5623262234	11871.6512308162	12290.463069945	10642.0843857209	8588.06035236852	11523.5855245314	10364.6212302624
HVO_RS05200	169860.008931651	173875.545873147	142981.285389	44424.949013222	39334.1084588124	44295.2655692321	44709.647712585	48850.1995738273	42558.7309945994
HVO_RS05205	13719.1319025211	13235.2614016552	11358.8836306511	3312.8750489831	3159.60614408908	3093.19233145806	3696.37393381066	4218.31251362403	3490.24910930264
HVO_RS05810	19834.4810024916	21344.0981275751	18451.4337594712	344086.068124527	405209.367215387	465675.722434955	140466.343470671	103025.055896533	158618.447963663
HVO_RS06635	58884.1099254597	52628.9541908429	53119.2154280756	70095.0898952004	66401.8509049104	78272.7936409407	19162.7961981608	21919.8202776959	18541.7453457896
HVO_RS06640	24156.2505383052	23663.5467560778	25733.5534132175	29610.4450119606	27908.2478023048	30630.1179089606	8208.91479149514	10039.1236392532	8762.9834913053
HVO_RS06715	137662.599855869	138850.209557465	138651.762045527	47260.136438407	51680.4767015326	47473.6146126493	30750.358581177	42496.2225554398	47049.5975959888
HVO_RS07300	11989.9720202526	10420.8985753509	13406.4383380515	1466.47625440604	1522.93401698009	1168.40018026331	2172.70485740364	2925.91038708805	3072.24223490276
HVO_RS07305	321967.309738679	271127.109088532	326325.591722341	66714.1505474896	64735.2984268354	58973.5276409001	75904.7050590855	98683.7050999648	103815.147723365
HVO_RS07570	23328.9662024747	20994.149469055	22931.7973700896	6186.42598799645	6119.68865430798	6011.06202064725	5231.85439840687	7157.22694687692	6361.06834255157
