	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS00380	2660.41984500657	2530.89517942911	3718.0087469372	818.009117436618	820.263828132948	817.754895725553	916.563723482048	986.30688604062	1347.15168848045
HVO_RS00390	2072.73151900682	1966.72992783072	3240.00817064511	637.329342632161	718.09230547479	666.226040621737	721.08524895076	809.251795950164	1190.12838073956
HVO_RS00700	21289.009609341	17293.373154151	15002.4914350097	57379.4413601607	53232.3271871896	56115.7685719174	52609.6947029325	47978.9284807833	57069.8504685849
HVO_RS00725	1700.9056358262	1279.7594741659	972.3082084918	4174.19781106462	4346.14524212863	4021.15003089548	4306.43213378292	4427.37756350485	5162.27660690217
HVO_RS01120	588.818495857443	698.050622272311	688.973112096915	225.230952153502	189.884810977897	222.910216599002	528.559621466774	499.155310481004	458.074890857902
HVO_RS01130	87.0230790422709	96.0281279316407	120.264537318692	23.5131213786622	26.9887040983814	23.793787165062	50.7889692135671	47.0146284420985	53.0630488227829
HVO_RS01470	556.04356998438	592.78902050109	402.580442719351	132.415999342993	160.96834230106	139.005809227468	53.7418162608675	68.0211645545255	34.6534196393684
HVO_RS01735	146202.163300588	117536.58189356	126229.862207898	39836.1777462704	36856.9309754967	37653.0420364169	35676.2980254836	43630.5755055109	42188.3725722036
HVO_RS01840	31029.9436127869	33248.8159489466	27642.4981454031	4795.43922854296	4332.65089007944	4183.94962728801	8570.93383949418	7646.37914492343	6717.34881321883
HVO_RS02455	486090.576472687	426388.895048468	641203.630197532	20637.0953742406	19265.1153147982	20361.2202903549	43272.2017699592	51690.0831939787	39539.5518085194
HVO_RS02500	3101.18608950638	2682.32415039823	3194.14457590493	1079.12851801018	1192.32239177492	1056.94507196381	1745.723174364	2041.63524787922	1770.57315969898
HVO_RS02505	2701.10595988347	2665.70389748699	3118.72444233219	114449.499544286	114226.798449531	124203.569001624	2232.94293716857	2381.74107065184	2433.3198103019
HVO_RS02510	224.903801680674	154.199013121	222.183636741313	38885.7526294908	42170.8140360101	47101.6801501218	158.863171144762	211.065672367719	202.505921017559
HVO_RS02515	257.678727553737	188.362866327449	289.450242360242	72420.4138462797	75353.42572497	82925.1051840041	216.14840386239	261.081234540164	283.724873297329
HVO_RS02520	5137.75217306706	5751.5308546749	5415.98094331805	374821.430364551	372261.942804999	391454.134135013	8591.01319941582	7212.2440652666	6715.18297449137
HVO_RS02525	1213.80242716103	1225.28197851238	1387.11894314187	263585.803252916	259582.175429678	284676.383470328	973.848956199676	1180.36726726971	1126.23613827947
HVO_RS02530	12963.0482677253	14034.8802361629	13105.7769947548	89.1023546980885	84.8216414520557	100.184367010788	14337.2535534624	13838.3057418722	14416.905489341
HVO_RS02615	1070.27085523416	920.57734180621	1527.76730034508	319.283437668151	284.345275322232	247.956308351699	410.445739574757	514.159979132737	624.844472872362
HVO_RS02645	1847.82771732614	1866.08506297929	2528.61285667521	746.232220596491	707.489600293283	662.469126858833	391.547518472035	377.117338780237	301.051583117013
HVO_RS02700	4447.21839001735	3797.7277902196	4011.53575327434	1569.19146884967	1657.877537472	1591.67913088389	2258.92799118481	2122.66045859858	2029.39088763051
HVO_RS03095	6878.21375391248	7849.37611102767	6217.06506477985	1204.11932112834	1128.70616068588	1163.39096191277	3240.45434970747	2694.83848985135	2763.61021623963
HVO_RS03100	2808.4720963642	3075.67013596438	2533.70881164635	249.981606236304	264.103747248446	273.002400104396	1092.55340750115	881.274205478485	962.715314356205
HVO_RS03105	7012.7039669778	6945.41902213271	6611.49197954539	798.208594170376	814.48053439758	776.428844333603	3027.84936230184	2207.68691429173	2715.9617642355
