	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HVO_RS00005	4182.51931242081	0.206887026801253	0.184159468087608	0	1	1
HVO_RS00010	1503.47139647167	0.0653303919829172	0.0933762776338847	0	1	1
HVO_RS00015	863.305421603832	0.101607154303632	0.118130842232546	0	1	1
HVO_RS00020	1087.4059724085	0.103024212321456	0.099717479411864	0	1	1
HVO_RS00025	375.033201150481	0.219286587745823	0.134328245882809	0	1	1
HVO_RS00030	1114.26269785532	0.138623268939177	0.099956881561997	0	1	1
HVO_RS00035	6386.32575289975	0.312344819341184	0.087421165262119	0	1	1
HVO_RS00040	102.635798497171	0.667853124961573	0.195016251288918	0	1	1
HVO_RS00045	4177.22200210046	0.246011859628557	0.109642032623865	0	1	1
HVO_RS00050	2292.51630677288	0.288169412785175	0.0835535934528716	0	1	1
HVO_RS00055	1499.48089495786	0.112280642876941	0.129434828491501	0	1	1
HVO_RS00060	345.739705588757	0.0591146721135227	0.136303301392435	0	1	1
HVO_RS00065	7982.21582943384	-0.255247837663395	0.0798632077775874	0	1	1
HVO_RS00070	2257.49341436677	0.0349470508677501	0.11485815722035	0	1	1
HVO_RS00075	2108.0369386588	0.29690311189556	0.105224101157722	0	1	1
HVO_RS00080	3346.15708380576	0.207504629205992	0.0987573524821224	0	1	1
HVO_RS00085	454.628314394148	-0.0059491470116195	0.129093668809204	0	1	1
HVO_RS00090	7713.15863180913	-0.195793803112427	0.0864452322837435	0	1	1
HVO_RS00095	2317.81426806181	0.193423908371567	0.08800881379901	0	1	1
HVO_RS00100	316.166345136165	0.118931815016095	0.145957643689674	0	1	1
HVO_RS00105	200.868155791857	0.20781696450845	0.159834630328026	0	1	1
HVO_RS00110	976.388447354026	0.00239673190058929	0.10490230135372	0	1	1
HVO_RS00115	450.058442754741	0.138497001973328	0.18228839182146	0	1	1
HVO_RS00120	1369.40464496508	-0.278887908615159	0.131973194496987	0	1	1
HVO_RS00125	200.547997292341	-0.18480543197433	0.185565972018967	0	1	1
HVO_RS00130	118.337115209319	0.0465268354213029	0.20166384352869	0	1	1
HVO_RS00135	2289.41067712178	0.432291019989356	0.0766868705583315	0	1	1
HVO_RS00140	242.086953529473	0.65621851525517	0.162869087778904	0	1	1
HVO_RS00145	622.607032502544	0.919918036265534	0.142617636547511	0	1	1
HVO_RS00150	182.065160129023	-0.0761242389266305	0.195133835676742	0	1	1
HVO_RS00155	61.8642179561445	0.369293107993743	0.280404963614048	0	1	1
HVO_RS00170	31.0104172200763	0.81668948108571	0.441126018177551	0	1	1
HVO_RS00175	24.5842560264598	0.00847877654304069	0.47313619445039	0	1	1
HVO_RS00180	262.482637036015	-0.172621679250248	0.178545357551144	0	1	1
HVO_RS00185	1250.42245667864	-0.0114036054642185	0.146569171085673	0	1	1
HVO_RS00190	2488.97017387297	0.489566668019296	0.0936143045783637	0	1	1
HVO_RS00195	5178.65695705952	0.461867401217764	0.222152646881493	0	1	1
HVO_RS00200	2725.1320763239	0.490282107419217	0.209930984277056	0	1	1
HVO_RS00205	859.371658846637	0.52192309863325	0.233035030476658	0	1	1
HVO_RS00210	4276.32124299894	0.381327718586452	0.215776813591894	0	1	1
HVO_RS00215	4317.27810681737	0.538039524854996	0.238127138121943	0	1	1
HVO_RS00220	9377.18060704143	0.544451917444543	0.224961154546462	0	1	1
HVO_RS00225	62559.1115033423	1.13229984837561	0.17428134386151	0.759116526440973	0.447782853873137	1
HVO_RS00230	18005.3785322936	0.313804591256444	0.0933410758422351	0	1	1
HVO_RS00235	10379.8156308786	0.127895773391524	0.123306539770028	0	1	1
HVO_RS00240	102585.780216322	0.298094464376377	0.124367880533945	0	1	1
HVO_RS00245	28369.5053648083	0.73034188979765	0.116429096081748	0	1	1
HVO_RS00250	32276.4458052959	0.356267141199042	0.120304086432343	0	1	1
HVO_RS00255	7160.93886314635	0.148771409423347	0.101897014499574	0	1	1
HVO_RS00260	26845.7069284171	0.238080336368512	0.104173974634373	0	1	1
HVO_RS00265	10798.6079871257	0.454325233228987	0.113877282856198	0	1	1
HVO_RS00270	1422.1800334408	0.5683190298193	0.129629311917509	0	1	1
HVO_RS00275	38515.7927598826	0.414440209027019	0.11381982204497	0	1	1
HVO_RS00280	29073.9689718553	0.373304230703503	0.104421998011177	0	1	1
HVO_RS00285	48857.7814548744	0.318974740664962	0.118146451157944	0	1	1
HVO_RS00290	33329.8489635682	0.345362306433051	0.0974650810449733	0	1	1
HVO_RS00295	23477.9374549997	0.472808779608141	0.0989366719357014	0	1	1
HVO_RS00300	31618.6593945436	0.717333848138036	0.106157544429879	0	1	1
HVO_RS00305	15401.5670626443	1.25773071513414	0.1229886390029	2.09556522637889	0.036120776646129	1
HVO_RS00310	44263.1396760464	0.963735686408728	0.113630603438246	0	1	1
HVO_RS00315	30408.6402579304	0.941440641669268	0.115033231844974	0	1	1
HVO_RS00320	22970.7438378584	0.828516512667228	0.126108299040254	0	1	1
HVO_RS00325	934.792987983601	0.555531455087345	0.118223949097847	0	1	1
HVO_RS00330	1397.88193993769	0.157408563247989	0.151572837056572	0	1	1
HVO_RS00335	2710.35701183119	0.300660512873284	0.12120650021957	0	1	1
HVO_RS00340	8183.44273063433	0.446025620058727	0.119034008186393	0	1	1
HVO_RS00345	4848.65305362991	0.00971850129773811	0.0784877320550956	0	1	1
HVO_RS00350	2099.41021028302	-0.577268172008509	0.0815606312431039	0	1	1
HVO_RS00355	2911.04514401651	-0.401347907039644	0.105964849614815	0	1	1
HVO_RS00360	1331.14675909878	-0.954006247992168	0.107621813341786	0	1	1
HVO_RS00365	1807.1903491825	-1.03998255077375	0.12247455340245	-0.326455983410419	0.744079386764022	1
HVO_RS00370	1981.75169853715	-0.557761078427897	0.107980480320517	0	1	1
HVO_RS00375	2259.11652712657	-0.837491705698716	0.128606225139572	0	1	1
HVO_RS00380	1623.93043451901	-1.45653735935802	0.173532459038406	-2.63084705816898	0.00851723559995496	0.304283894840869
HVO_RS00385	1200.19209852846	-0.951827082686489	0.184884160224307	0	1	1
HVO_RS00390	1335.7314146502	-1.42178029293411	0.210560301266855	-2.00313302363473	0.0451630122215973	1
